GST Dataset Labeling Report
==================================================

[OK] 000170mybillprint1.jpg  |  325 words  |  6 labeled  |  fields: GSTIN_S,BANK,TOTAL,HSN,UOM,STATE_CODE  |  3.0s
[OK] 1.gif  |  110 words  |  3 labeled  |  fields: GSTIN_S,HSN,STATE_CODE  |  0.6s
[OK] 10.jpg  |  208 words  |  22 labeled  |  fields: UPI_ID,INV_NO,INV_DATE,HSN,QTY,UOM  |  0.9s
[OK] 11.png  |  210 words  |  3 labeled  |  fields: AC_NO,TOTAL,HSN  |  0.9s
[OK] 12.jpg  |  224 words  |  2 labeled  |  fields: HSN  |  1.1s
[OK] 13.jpg  |  112 words  |  6 labeled  |  fields: GSTIN_S,GSTIN_R,PAN,HSN,QTY,UOM  |  0.7s
[OK] 14.png  |  129 words  |  0 labeled  |  fields: UPI_ID,BANK  |  0.7s
[OK] 15.jfif  |  193 words  |  6 labeled  |  fields: UPI_ID,TOTAL,HSN,UOM  |  1.0s
[OK] 16.jpg  |  231 words  |  7 labeled  |  fields: GSTIN_S,GSTIN_R,UPI_ID,HSN,UOM,STATE_CODE  |  0.9s
[OK] 17.webp  |  158 words  |  7 labeled  |  fields: CGST,SGST,HSN  |  0.9s
[OK] 18.jpg  |  110 words  |  8 labeled  |  fields: GSTIN_S,GSTIN_R,INV_DATE,STATE_CODE,UPI_ID,SUPPLIER  |  0.6s
[OK] 19.jpg  |  169 words  |  2 labeled  |  fields: QTY,UOM  |  0.8s
[OK] 2.webp  |  89 words  |  6 labeled  |  fields: GSTIN_S,GSTIN_R,HSN,STATE_CODE  |  0.5s
[OK] 20.jpg  |  208 words  |  15 labeled  |  fields: SUPPLIER,HSN  |  1.0s
[OK] 21.jpg  |  185 words  |  2 labeled  |  fields: INV_DATE  |  0.8s
[OK] 22.gif  |  146 words  |  3 labeled  |  fields: GSTIN_S,STATE_CODE  |  0.6s
[OK] 23.jpg  |  155 words  |  6 labeled  |  fields: GSTIN_S,CGST,SGST,STATE_CODE  |  0.7s
[OK] 3.jpg  |  222 words  |  6 labeled  |  fields: GSTIN_S,UPI_ID,BANK,AC_NO,TAXABLE,TOTAL  |  0.9s
[OK] 4.gif  |  146 words  |  3 labeled  |  fields: GSTIN_S,STATE_CODE  |  0.6s
[OK] 5.jpg  |  92 words  |  6 labeled  |  fields: TOTAL,CGST_RATE,SGST_RATE,GST_RATE,HSN  |  0.5s
[OK] 6.png  |  201 words  |  5 labeled  |  fields: CGST,SGST  |  0.8s
[OK] 7.jpg  |  256 words  |  8 labeled  |  fields: GSTIN_S,PLACE,IGST,TOTAL_GST,HSN,STATE_CODE  |  1.0s
[OK] 8-real-bill-of-restraunt-with-gst.jpg  |  69 words  |  0 labeled  |  fields: GSTIN_S,UPI_ID,GST_RATE,CGST_RATE,SGST_RATE,STATE_CODE  |  0.6s
[OK] 8.webp  |  196 words  |  15 labeled  |  fields: INV_NO,UPI_ID,HSN  |  0.8s
[OK] 9.png  |  167 words  |  4 labeled  |  fields: GSTIN_S,PLACE,AC_NO,IFSC,IGST,TOTAL_GST  |  0.7s
